Accounts,On/Off,Wine,Date,Address,Lat,Lon
Mom's Apple Pie - Occoquan,off,Young Wine,02/21,"126 A Commerce St, Occoquan Historic Dist., VA 22125",38.6822873,-77.2600693
Vanderbilt Wine Merchants,off,Young Wine,02/21,"573 Vanderbilt Ave, Broooklyn, NY 10013",40.6805749,-73.9674951
2941 Restaurant,On,Petit Manseng,02/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
Dabney,on,Shenandoah Valley Cabernet Franc,02/21,"122 Blagden Alley NW, Washington, DC 20009",38.9063446,-77.0245248
Little Red Fox,on,Five Forks,02/21,"5035 Connecticut Ave. NW, Washington, DC 20008",38.9558822,-77.0699601
Win Son,On,Young Wine,02/21,"159 Graham Ave, Brooklyn, NY 11206",40.7074661,-73.9434952
La Fromagerie,on/off,Eluvium,02/21,"1222 King St, Alexandria, VA 22314",38.805648,-77.053429
Arrowine,Off,Shenandoah Valley Cabernet Franc,02/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,Off,Chardonnay,02/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,Off,Petit Manseng,02/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Reveler's Hour,on,Shenandoah Valley Cabernet Franc,02/21,"1775 Columbia Road NW, Washington, DC 20009",38.9235097,-77.0420765
Whole Foods - Old Town,on/off,Foothills,02/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Whole Foods - Pentagon City,on/off,Five Forks,02/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8627722,-77.0549476
Whole Foods - Tenley,on/off,Five Forks,02/21,"4530 40th Street NW, Washington, DC 20016",38.9490789,-77.0792007
Fat Canary,on,Foothills,02/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Eluvium,02/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Foods of All Nations,off,Foothills,02/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Eluvium,02/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Friendly City Food Co-op,off,Foothills,02/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Second Bottle Wine,off,Foothills,02/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Second Bottle Wine,off,Five Forks,02/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Commune - Norfolk,on,Petit Manseng,02/21,"759 Granby St., Norfolk, VA 23510",36.8562717,-76.2885787
Prosperity Kitchen & Pantry,on,Foothills,02/21,"532 Virginia Beach Blvd Ste B, Virginia Beach, VA 23451",36.8444829,-75.9806406
Prosperity Kitchen & Pantry,on,Young Wine,02/21,"532 Virginia Beach Blvd Ste B, Virginia Beach, VA 23451",36.8444829,-75.9806406
Taste - Bayville Farms,on/off,Eluvium,02/21,"4097 Shore Drive, Virginia Beach, VA 23455",36.9059328,-76.1160943
Taste - Bayville Farms,on/off,Foothills,02/21,"4097 Shore Drive, Virginia Beach, VA 23455",36.9059328,-76.1160943
"Wool Factory, The",on/off,Foothills,02/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
"Wool Factory, The",on/off,Young Wine,02/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
"Tyger, The",on,Shenandoah Valley Cabernet Franc,02/21,"1 Howard Street, New York, NY 10013",40.718902,-73.999442
J Emerson,off,Shenandoah Valley Cabernet Franc,02/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Olivino,off,Chardonnay,02/21,"905 Fulton Street, Brooklyn, NY 11238",40.6837237,-73.9671635
